id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m
68444620,73334399,35000,35000,35000, 60 months,11.99,778.38,C,C1,Foreign Service Officer,10+ years,MORTGAGE,128000,Source Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68444620,,home_improvement,Home improvement,200xx,DC,6.46,0,Feb-90,0,46,,17,0,14277,27.4,46,w,35000,35000,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,56,1,INDIVIDUAL,,,,0,321,146867,1,11,0,0,28,35367,49.3,0,1,5020,40.1,52200,1,4,0
68547583,73437441,8650,8650,8650, 36 months,5.32,260.5,A,A1,Associate Consultant,< 1 year,MORTGAGE,100000,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68547583,,credit_card,Credit card refinancing,462xx,IN,7.28,0,1-Jul,0,,,15,0,7158,26.7,24,w,8650,8650,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,,1,INDIVIDUAL,,,,0,0,165450,0,1,1,1,11,24041,88.8,0,3,3081,57.9,26800,1,0,5
67849662,72708407,4225,4225,4225, 36 months,14.85,146.16,C,C5,mechanic,5 years,RENT,35000,Source Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=67849662,,debt_consolidation,Debt consolidation,672xx,KS,15.22,2,11-Jul,0,18,,6,0,1058,24.6,6,w,4225,4225,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,,1,INDIVIDUAL,,,,0,0,4888,0,1,0,0,47,3830,21.9,0,0,367,22.4,4300,0,0,0
68506885,73396712,10000,10000,10000, 60 months,11.99,222.4,C,C1,CARDIOVASCULAR TECH,10+ years,RENT,42500,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68506885,,debt_consolidation,Debt consolidation,460xx,IN,31.04,0,Dec-98,1,,,10,0,5812,40.9,23,w,10000,10000,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,,1,INDIVIDUAL,,,,0,0,41166,1,3,0,2,13,35354,75.5,1,1,3118,67.4,14200,1,1,1
68341763,72928789,20000,20000,20000, 60 months,10.78,432.66,B,B4,truck driver,10+ years,MORTGAGE,63000,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68341763,,home_improvement,,605xx,IL,10.78,0,Aug-00,0,,,6,0,7869,56.2,18,w,20000,20000,0,0,0,0,0,0,0,,0,16-Jan,15-Dec,0,,1,JOINT,71000,13.85,Not Verified,0,0,189699,0,1,0,4,19,10827,72.8,0,2,2081,64.7,14000,2,5,1
68416935,73306760,15000,15000,15000, 36 months,9.8,482.61,B,B3,Electronic Branch Manager,3 years,MORTGAGE,92000,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68416935,,debt_consolidation,Debt consolidation,973xx,OR,13.89,0,1-Nov,1,,67,7,2,12703,35.2,31,w,15000,15000,0,0,0,0,0,0,0,,0,16-Feb,16-Jan,0,,1,INDIVIDUAL,,,,0,0,312996,0,2,2,2,8,40694,69.8,1,1,7045,41.5,36100,0,3,2
68466916,73356753,25000,25000,25000, 36 months,7.49,777.55,A,A4,Sales Manager,10+ years,MORTGAGE,109000,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68466916,,debt_consolidation,Debt consolidation,226xx,VA,26.02,0,1-Dec,1,,,9,0,20862,54.3,19,w,25000,25000,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,,1,INDIVIDUAL,,,,0,0,305781,0,3,0,1,13,47194,57.5,0,1,8937,56.5,38400,1,0,1
68407277,73297111,3600,3600,3600, 36 months,13.99,123.03,C,C4,leadman,10+ years,MORTGAGE,55000,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68407277,,debt_consolidation,Debt consolidation,190xx,PA,5.91,0,3-Aug,1,30,,7,0,2765,29.7,13,w,3600,3600,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,30,1,INDIVIDUAL,,,,0,722,144904,2,2,0,1,21,4981,36.3,3,3,722,33.6,9300,3,1,4
68426831,73316657,11950,11950,11950, 36 months,13.44,405.18,C,C3,Veterinary Tecnician,4 years,RENT,34000,Source Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68426831,,debt_consolidation,Debt consolidation,300xx,GA,10.2,0,Oct-87,0,,,5,0,8822,68.4,6,w,11950,11950,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,,1,INDIVIDUAL,,,,0,0,12798,0,1,0,0,338,3976,99.4,0,0,4522,75.7,12900,0,0,0
68377020,73266845,15000,15000,15000, 36 months,5.32,451.73,A,A1,,,RENT,80000,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68377020,,debt_consolidation,Debt consolidation,236xx,VA,20.18,0,Apr-93,1,35,,30,0,41593,21.4,47,w,15000,15000,0,0,0,0,0,0,0,,0,16-Feb,16-Jan,0,,1,INDIVIDUAL,,,,0,0,330562,1,1,0,0,54,55536,,2,6,2491,21.4,194800,1,1,3
